geoName,reliance infra share price
Andaman and Nicobar Islands,0
Andhra Pradesh,28
Arunachal Pradesh,0
Assam,7
Bihar,6
Chandigarh,43
Chhattisgarh,16
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,48
Goa,24
Gujarat,100
Haryana,32
Himachal Pradesh,21
Jammu & Kashmir,13
Jharkhand,30
Karnataka,22
Kerala,19
Lakshadweep,0
Madhya Pradesh,19
Maharashtra,31
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,12
Puducherry,0
Punjab,46
Rajasthan,39
Sikkim,0
Tamil Nadu,14
Telangana,30
Tripura,0
Uttar Pradesh,23
Uttarakhand,21
West Bengal,26
